,number,value,datetime_start,datetime_complete,duration,params_fpSize,params_learning_rate_hist_gradient_boosting_classifier,params_maxPath,params_minPath,params_percentile,params_standardization_type,params_standardizer,state
0,0,0.5862152498664126,2024-05-01 14:53:19.408272,2024-05-01 15:15:15.148825,0 days 00:21:55.740553,1024,0.7821760500376155,7,2,79,,pass_through_standardizer,COMPLETE
1,1,-inf,2024-05-01 15:15:15.170766,2024-05-01 15:15:23.907740,0 days 00:00:08.736974,2048,0.7155750067130712,8,2,69,heavy_standardisation,custom_standardizer,COMPLETE
2,2,0.6274848968860597,2024-05-01 15:15:23.921816,2024-05-01 15:28:46.302389,0 days 00:13:22.380573,1024,0.9338087009626964,5,2,37,,chembl_standardizer,COMPLETE
3,3,0.5793519813519814,2024-05-01 15:28:46.320424,2024-05-01 15:33:40.924678,0 days 00:04:54.604254,2048,0.15232915626941892,7,3,81,,pass_through_standardizer,COMPLETE
4,4,0.6166147766961722,2024-05-01 15:33:40.943883,2024-05-01 15:35:00.061750,0 days 00:01:19.117867,1024,0.05688172601349998,5,3,18,,basic_standardizer,COMPLETE
5,5,0.5964837217046519,2024-05-01 15:35:00.077012,2024-05-01 15:36:06.846161,0 days 00:01:06.769149,2048,0.6111217691562997,8,1,11,,pass_through_standardizer,COMPLETE
6,6,0.5827854935761912,2024-05-01 15:36:06.864371,2024-05-01 16:05:19.323717,0 days 00:29:12.459346,2048,0.2923984504242647,10,3,79,,basic_standardizer,COMPLETE
7,7,0.6193764123473425,2024-05-01 16:05:19.341832,2024-05-01 16:40:22.735560,0 days 00:35:03.393728,1024,0.1281870889469859,10,2,12,,basic_standardizer,COMPLETE
8,8,0.5638769660571986,2024-05-01 16:40:22.754404,2024-05-01 16:41:17.443651,0 days 00:00:54.689247,1024,0.016146431421258104,7,3,54,,pass_through_standardizer,COMPLETE
9,9,0.6016762694669672,2024-05-01 16:41:17.456646,2024-05-01 16:43:48.202831,0 days 00:02:30.746185,2048,0.8326969225092025,5,3,75,,basic_standardizer,COMPLETE
10,10,0.5688406051313029,2024-05-01 16:43:48.221828,2024-05-01 16:44:57.166742,0 days 00:01:08.944914,1024,0.9901173073093941,6,1,35,,chembl_standardizer,COMPLETE
11,11,0.5950742784347435,2024-05-01 16:44:57.182146,2024-05-01 16:46:48.808795,0 days 00:01:51.626649,1024,0.4264979525136422,10,2,31,,chembl_standardizer,COMPLETE
12,12,0.630272942174105,2024-05-01 16:46:48.823751,2024-05-01 16:48:37.284958,0 days 00:01:48.461207,1024,0.4613585560265549,9,2,3,,chembl_standardizer,COMPLETE
13,13,0.6012962231566882,2024-05-01 16:48:37.301410,2024-05-01 16:50:17.165521,0 days 00:01:39.864111,1024,0.531731087515993,9,1,2,,chembl_standardizer,COMPLETE
14,14,0.606028823889289,2024-05-01 16:50:17.184982,2024-05-01 17:18:10.371516,0 days 00:27:53.186534,1024,0.42339868882631726,9,2,98,,chembl_standardizer,COMPLETE
15,15,0.5655121196632825,2024-05-01 17:18:10.384694,2024-05-01 17:30:14.490309,0 days 00:12:04.105615,1024,0.9973668213708833,6,2,42,,chembl_standardizer,COMPLETE
16,16,0.5960162628069605,2024-05-01 17:30:14.509873,2024-05-01 17:31:35.098035,0 days 00:01:20.588162,1024,0.6468528895099712,9,1,26,simple_standardisation,custom_standardizer,COMPLETE
17,17,0.59768125479172,2024-05-01 17:31:35.116612,2024-05-01 17:32:44.871840,0 days 00:01:09.755228,1024,0.858967106112094,6,2,53,,chembl_standardizer,COMPLETE
18,18,0.5702149807556784,2024-05-01 17:32:44.887929,2024-05-01 17:34:26.331576,0 days 00:01:41.443647,1024,0.5196383414256587,8,2,62,,chembl_standardizer,COMPLETE
19,19,0.6217384669593972,2024-05-01 17:34:26.350875,2024-05-01 17:46:47.781208,0 days 00:12:21.430333,1024,0.6697725311068154,5,1,3,,chembl_standardizer,COMPLETE
20,20,-inf,2024-05-01 17:46:47.797741,2024-05-01 17:46:55.892004,0 days 00:00:08.094263,2048,0.3329824589710353,9,2,41,heavy_standardisation,custom_standardizer,COMPLETE
