,number,value,datetime_start,datetime_complete,duration,params_1D_featurizer,params_1d_model,params_2d_model,params_C_passive_aggressive_regressor,params_activation_mlp_regressor,params_algorithm_kneighbors_regressor,params_alpha_mlp_regressor,params_alpha_quantile_regressor,params_attention_dropout_0,params_attention_dropout_1,params_attention_key_dim_0,params_attention_key_dim_1,params_base_estimator_bagging_regressor,params_base_filters,params_batch_normalization_0,params_batch_size_deepchem,params_batchnorm,params_bootstrap_bagging_regressor,params_bootstrap_extra_trees_regressor,params_bootstrap_features,params_bootstrap_random_forest_regressor,params_conv_activation_0,params_conv_activation_1,params_conv_batch_norm_0,params_conv_batch_norm_1,params_conv_dropout_0,params_conv_dropout_1,params_criterion_extra_trees_regressor,params_criterion_random_forest_regressor,params_dense_activation,params_dense_dropout,params_dense_layer_size,params_dense_units,params_depth_dmpnn,params_dropout,params_dropout_attentive_fp,params_dropout_dag,params_dropout_gcn,params_dropout_graph_conv,params_dropout_pagtn,params_dropout_text_cnn,params_dropouts_dtnn,params_dropouts_weave,params_embed_dropout_p,params_embedding_dim,params_embedding_output_dim,params_encoder_dropout_p,params_epochs_deepchem,params_f1,params_f2,params_feature_selector,params_featurizer_type,params_ff_dropout_p,params_filter_0,params_filter_1,params_filters,params_fnn_dropout_p,params_fnn_layers,params_fpSize,params_g_noise,params_gen_dropout_p,params_gen_n_layers,params_graph_conv_layers_conv_model,params_graph_conv_layers_gcn,params_graph_feat_size_attentive_fp,params_gru_dropout_0,params_gru_dropout_1,params_gru_dropout_2,params_gru_units_0,params_gru_units_1,params_gru_units_2,params_hidden_activation_0,params_hidden_dropout_0,params_hidden_layer_sizes_mlp_regressor,params_hidden_layer_units_0,params_k,params_kernel_size_0,params_kernel_size_1,params_kernel_size_smiles_to_vec,params_l1_0,params_l2_0,params_layer_sizes_dag,params_layer_sizes_gather,params_leaf_size_kneighbors_regressor,params_lstm_dropout_0,params_lstm_dropout_1,params_lstm_dropout_2,params_lstm_units_0,params_lstm_units_1,params_lstm_units_2,params_master_atom,params_maxLength,params_maxPath,params_max_features_extra_trees_regressor,params_max_features_random_forest_regressor,params_max_length_pagtn,params_max_path,params_method,params_minLength,params_minPath,params_min_path,params_model_steps,params_model_type,params_nBits,params_n_attention_heads,params_n_attention_layers,params_n_bits,params_n_conv_layers,params_n_embedding_dtnn,params_n_embedding_text_cnn,params_n_encoders,params_n_estimators,params_n_estimators_bagging_regressor,params_n_estimators_extra_trees_regressor,params_n_estimators_random_forest_regressor,params_n_graph_feat_dag,params_n_graph_feat_weave,params_n_gru_layers,params_n_hidden_dtnn,params_n_hidden_layers,params_n_hidden_weave,params_n_layers,params_n_lstm_layers,params_n_neighbors_kneighbors_regressor,params_n_rnn_layers,params_num_heads,params_num_layers_attentive_fp,params_num_layers_pagtn,params_p,params_percentile,params_predictor_dropout_gcn,params_quantile,params_radius,params_regression_model,params_rnn_dropouts_0,params_rnn_units_0,params_sa_dropout_p,params_scaler,params_standardization_type,params_standardize,params_standardizer,params_stride_0,params_stride_1,params_strides,params_support_weak,params_threshold,params_use_chirality_attentive_fp,params_use_chirality_gat,params_use_chirality_gcn,params_use_chirality_graph_conv,params_use_chirality_weave,params_use_edges_gat,params_use_edges_gcn,params_use_partial_charge_attentive_fp,params_use_partial_charge_gat,params_use_partial_charge_gcn,params_weights_kneighbors_regressor,state
0,0,0.3021436828321621,2024-02-26 17:20:58.790473,2024-02-26 20:15:43.700819,0 days 02:54:44.910346,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,0.5,786.0,,,,,0.25,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mat_model,deepchem,,,,,,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.25,,,,pass_through_standardizer,,,,,,,,,,,,,,,,,COMPLETE
1,1,-inf,2024-02-26 20:15:43.793321,2024-02-26 23:15:44.061204,0 days 03:00:00.267883,2d_descriptors,,,,,,,,,,,,rfr,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low_variance_fs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sklearn,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,bagging_regressor_model,,,,pass_through_transformer,,,basic_standardizer,,,,,0.030571436672348715,,,,,,,,,,,,COMPLETE
2,2,-inf,2024-02-26 23:15:44.096004,2024-02-26 23:15:44.230780,0 days 00:00:00.134776,layered,keras_tabular_transformer,,,,,,,0.3952169288809593,0.23550573016739257,16.0,8.0,,,,,,,,,,,,,,,,,,relu,0.11405455374646611,,88.0,,,,,,,,,,,,,128.0,,,,,,1D,,,,,,,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,3.0,,,keras,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
3,3,-inf,2024-02-26 23:15:44.243509,2024-02-26 23:15:53.037245,0 days 00:00:08.793736,,,keras_rnn,,,,,,,,,,,,,,,,,,,,,,,,,,,relu,0.17505859119153822,,16.0,,,,,,,,,,,,,,,,,,,2D,,,,,,,,,,,,,,0.3985329256476225,,,25.0,,,,,,,,,,,,,,,,0.15802269987707418,0.02022911386522641,0.33539263601025365,166.0,86.0,194.0,,,,,,,,,,,,,keras,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
4,4,-inf,2024-02-26 23:15:53.057706,2024-02-26 23:16:01.561206,0 days 00:00:08.503500,,,keras_simple_rnn,,,,,,,,,,,,,,,,,,,,,,,,,,,tanh,0.39480130847088785,,160.0,,,,,,,,,,,,,,,,,,,2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keras,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.11212763664105085,193.0,,,,,,,,,,,,,,,,,,,,,,COMPLETE
5,5,-inf,2024-02-26 23:16:01.582069,2024-02-27 02:16:01.597168,0 days 03:00:00.015099,mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maccs,maccs,,1D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
6,6,0.25750919649296944,2024-02-27 02:16:01.638511,2024-02-27 02:25:27.264726,0 days 00:09:25.626215,layered,,,,,,,,,,,,,,,,,,,,True,,,,,,,,absolute_error,,,,,,,,,,,,,,,,,,,,,,low_variance_fs,,,,,,,,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,sqrt,,,,,2.0,,,sklearn,,,,,,,,,,,,700.0,,,,,,,,,,,,,,,,,,,random_forest_regressor_model,,,,,heavy_standardisation,,custom_standardizer,,,,,0.07951688017124386,,,,,,,,,,,,COMPLETE
7,7,-0.045824334832962665,2024-02-27 02:25:27.291419,2024-02-27 02:34:54.438659,0 days 00:09:27.147240,mol2vec,,,,,brute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pass_through_transformer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,sklearn,,,,,,,,,,,,,,,,,,,,,5.0,,,,,10.0,,,,,kneighbors_regressor_model,,,,,,,basic_standardizer,,,,,,,,,,,,,,,,distance,COMPLETE
8,8,0.3043084810561276,2024-02-27 02:34:54.497108,2024-02-27 05:17:55.670827,0 days 02:43:01.173719,,,,,,,,,,,,,,,,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,0.25,905.0,,,,,0.25,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mat_model,deepchem,,,,,,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.25,,,,chembl_standardizer,,,,,,,,,,,,,,,,,COMPLETE
9,9,0.33390460429245955,2024-02-27 05:17:55.692503,2024-02-27 06:27:41.856877,0 days 01:09:46.164374,,,,,,,,,,,,,,,,256.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text_cnn_model,deepchem,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pass_through_standardizer,,,,,,,,,,,,,,,,,COMPLETE
