,number,value,datetime_start,datetime_complete,duration,params_alpha_bayesian_ridge,params_alpha_elastic_net,params_alpha_gamma_regressor,params_alpha_gaussian_process_regressor,params_alpha_lasso,params_alpha_poisson_regressor,params_alpha_quantile_regressor,params_alpha_ridge_model,params_alpha_tweedie_regressor,params_bootstrap_extra_trees_regressor,params_criterion_extra_trees_regressor,params_estimator_1,params_estimator_2,params_estimator_3,params_estimator_4,params_final_estimator,params_l1_ratio_elastic_net,params_lambda_1_bayesian_ridge,params_lambda_2_bayesian_ridge,params_max_features_extra_trees_regressor,params_n_components,params_n_estimators_extra_trees_regressor,params_power_tweedie_regressor,params_quantile,params_quantile_range,params_scale,params_standardization_type,params_standardizer,params_with_centering,params_with_scaling,state
0,0,inf,2024-04-22 10:03:45.898609,2024-04-22 10:04:00.159042,0 days 00:00:14.260433,,,1.1448090310592187,,,,0.8035166506773763,0.4831392795058784,1.2833561833708458,,,ridge_model,gamma_regressor_model,quantile_regressor_model,tweedie_regressor_model,pls_regression_model,,,,,2.0,,0.2771172144251962,0.19088137563185362,"(10.0, 90.0)",True,simple_standardisation,custom_standardizer,False,False,COMPLETE
1,1,inf,2024-04-22 10:04:00.237656,2024-04-22 10:04:13.859069,0 days 00:00:13.621413,,4.9146401485515785,1.2874660315304054,,,1.5553589041592433,,,1.4848206263535872,,,elastic_net_model,linear_regression_model,tweedie_regressor_model,gamma_regressor_model,poisson_regressor_model,0.5439434095685136,,,,,,0.40545438708501025,,"(10.0, 90.0)",,,basic_standardizer,True,False,COMPLETE
2,2,0.6618709367500621,2024-04-22 10:04:13.900915,2024-04-22 10:07:36.720516,0 days 00:03:22.819601,1.861464339303736,,,0.6454853695442804,1.2906490940358009,,,,,,,decision_tree_regressor_model,gaussian_process_regressor_model,lasso_model,linear_regression_model,bayesian_ridge_model,,5.192492855158889,1.126231664213072,,,,,,"(10.0, 90.0)",,simple_standardisation,custom_standardizer,False,False,COMPLETE
3,3,inf,2024-04-22 10:07:36.742993,2024-04-22 13:07:37.922502,0 days 03:00:01.179509,,4.281307968373813,,0.5667015973043502,3.3463830233095266,,0.6720973260820745,,,,,quantile_regressor_model,decision_tree_regressor_model,elastic_net_model,gaussian_process_regressor_model,lasso_model,0.154392660663615,,,,,,,0.23103003253069643,"(25.0, 75.0)",,simple_standardisation,custom_standardizer,True,False,COMPLETE
4,4,inf,2024-04-22 13:07:38.005818,2024-04-22 13:07:47.475720,0 days 00:00:09.469902,9.387507069155474,,1.8194013354402199,,9.184082829705888,,0.689073459619526,,1.344901200211982,,,gamma_regressor_model,quantile_regressor_model,lasso_model,tweedie_regressor_model,bayesian_ridge_model,,9.475383643216077,5.867734142995117,,,,0.40503062548248214,0.5595526432370443,"(10.0, 90.0)",,,basic_standardizer,False,False,COMPLETE
5,5,inf,2024-04-22 13:07:47.556821,2024-04-22 13:07:56.562750,0 days 00:00:09.005929,,,1.6033762344828468,,,0.05499830943548156,,,1.2841377807877647,,,poisson_regressor_model,gamma_regressor_model,linear_regression_model,gamma_regressor_model,tweedie_regressor_model,,,,,,,0.2970711552784341,,"(10.0, 90.0)",,,chembl_standardizer,False,True,COMPLETE
6,6,inf,2024-04-22 13:07:56.628669,2024-04-22 13:08:05.623357,0 days 00:00:08.994688,,,0.5282049883144893,,6.470170941009297,1.2889233257948896,,3.9780182792713905,,,,lasso_model,ridge_model,poisson_regressor_model,poisson_regressor_model,gamma_regressor_model,,,,,,,,,"(5.0, 95.0)",,,basic_standardizer,True,False,COMPLETE
7,7,inf,2024-04-22 13:08:05.694446,2024-04-22 16:08:06.986928,0 days 03:00:01.292482,5.766234037623122,,,0.2432311204510037,,,0.8674362892237333,,,,,bayesian_ridge_model,gaussian_process_regressor_model,quantile_regressor_model,linear_regression_model,pls_regression_model,,7.843922859287635,6.929916423741974,,7.0,,,0.5394053423127009,"(10.0, 90.0)",True,,pass_through_standardizer,True,False,COMPLETE
8,8,inf,2024-04-22 16:08:07.004855,2024-04-22 16:12:13.680354,0 days 00:04:06.675499,,0.8866955133444875,,,,,0.8148909518355534,4.5972818725118945,0.5320008308751591,,,pls_regression_model,ridge_model,quantile_regressor_model,tweedie_regressor_model,elastic_net_model,0.2560757064367235,,,,4.0,,0.4103176510477784,0.744765685071473,"(10.0, 90.0)",True,,pass_through_standardizer,False,True,COMPLETE
9,9,inf,2024-04-22 16:12:13.697410,2024-04-22 16:12:21.869699,0 days 00:00:08.172289,,,,,,0.06240237454763853,0.5838464572590725,,0.7942130621039396,,,quantile_regressor_model,quantile_regressor_model,tweedie_regressor_model,tweedie_regressor_model,poisson_regressor_model,,,,,,,0.4666727929336698,0.3986610478626824,"(5.0, 95.0)",,,chembl_standardizer,True,False,COMPLETE
10,10,0.7479116077181519,2024-04-22 16:12:21.888797,2024-04-22 16:14:50.680073,0 days 00:02:28.791276,,9.986861318622509,,0.8001872945293734,0.1743595644209046,,,9.881048230677694,,,,decision_tree_regressor_model,elastic_net_model,gaussian_process_regressor_model,lasso_model,ridge_model,0.943709186031239,,,,,,,,"(25.0, 75.0)",,heavy_standardisation,custom_standardizer,False,True,COMPLETE
11,11,0.6960869021364444,2024-04-22 16:14:50.694620,2024-04-22 16:17:19.498907,0 days 00:02:28.804287,,9.989623823381091,,0.9021403090119713,0.050722659109408236,,,9.734558754634044,,,,decision_tree_regressor_model,elastic_net_model,gaussian_process_regressor_model,lasso_model,ridge_model,0.9604275174245988,,,,,,,,"(25.0, 75.0)",,heavy_standardisation,custom_standardizer,False,True,COMPLETE
12,12,inf,2024-04-22 16:17:19.513670,2024-04-22 16:17:27.569420,0 days 00:00:08.055750,,,,,,,,,,,,decision_tree_regressor_model,pls_regression_model,decision_tree_regressor_model,decision_tree_regressor_model,decision_tree_regressor_model,,,,,10.0,,,,"(25.0, 75.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
13,13,inf,2024-04-22 16:17:27.590381,2024-04-22 16:17:35.986490,0 days 00:00:08.396109,,,,,,1.8665141613617318,,9.954205986657096,,False,poisson,extra_trees_regressor_model,poisson_regressor_model,extra_trees_regressor_model,extra_trees_regressor_model,ridge_model,,,,log2,,500.0,,,"(25.0, 75.0)",,heavy_standardisation,custom_standardizer,False,True,COMPLETE
14,14,inf,2024-04-22 16:17:36.002260,2024-04-22 16:17:44.243694,0 days 00:00:08.241434,0.5274389369445109,9.707809275696567,,0.9799031728205675,,,,,1.9954497236524997,,,tweedie_regressor_model,bayesian_ridge_model,bayesian_ridge_model,elastic_net_model,gaussian_process_regressor_model,0.968877404380725,2.6390225627995982,0.2572640099011848,,,,0.9813681765120318,,"(25.0, 75.0)",,simple_standardisation,custom_standardizer,False,True,COMPLETE
15,15,inf,2024-04-22 16:17:44.258597,2024-04-22 16:17:53.016020,0 days 00:00:08.757423,0.32569015418898584,,,0.6885592871998925,,,,,,,,decision_tree_regressor_model,gaussian_process_regressor_model,gaussian_process_regressor_model,linear_regression_model,bayesian_ridge_model,,4.937432954319238,1.09679962351681,,,,,,"(5.0, 95.0)",,simple_standardisation,custom_standardizer,False,True,COMPLETE
16,16,inf,2024-04-22 16:17:53.034057,2024-04-22 16:18:01.711041,0 days 00:00:08.676984,,7.684256932031772,,0.9663579491473862,0.011875313092471806,,,,,,,gaussian_process_regressor_model,elastic_net_model,lasso_model,lasso_model,linear_regression_model,0.6547567886945316,,,,,,,,"(25.0, 75.0)",,heavy_standardisation,custom_standardizer,False,False,COMPLETE
17,17,inf,2024-04-22 16:18:01.726348,2024-04-22 16:18:06.864957,0 days 00:00:05.138609,3.4267917483977373,,,,,,,7.409713913876669,0.009552049321105427,True,absolute_error,linear_regression_model,tweedie_regressor_model,ridge_model,bayesian_ridge_model,extra_trees_regressor_model,,0.3733687545697393,3.13224131375432,sqrt,,1000.0,0.016933157745365857,,"(25.0, 75.0)",,,pass_through_standardizer,False,True,COMPLETE
18,18,inf,2024-04-22 16:18:06.880112,2024-04-22 16:18:16.206185,0 days 00:00:09.326073,,,0.03183417490288254,,2.135946048018719,,0.009720607750287824,,,,,decision_tree_regressor_model,lasso_model,gamma_regressor_model,pls_regression_model,quantile_regressor_model,,,,,10.0,,,0.8961410790164086,"(10.0, 90.0)",False,,chembl_standardizer,False,False,COMPLETE
19,19,0.567887568318052,2024-04-22 16:18:16.221926,2024-04-22 16:21:56.065836,0 days 00:03:39.843910,3.1730535842564045,,,,,,,7.40546993361756,,True,squared_error,decision_tree_regressor_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,6.018746198755096,9.806054121193046,auto,7.0,100.0,,,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
20,20,inf,2024-04-22 16:21:56.085011,2024-04-22 16:22:04.582467,0 days 00:00:08.497456,3.055398878352622,,,,,,,7.0238259978029625,,True,squared_error,extra_trees_regressor_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,5.762319643686145,9.93425296501903,auto,6.0,100.0,,,"(5.0, 95.0)",False,simple_standardisation,custom_standardizer,False,False,COMPLETE
21,21,0.5682115970559807,2024-04-22 16:22:04.653339,2024-04-22 16:25:44.900075,0 days 00:03:40.246736,2.96683224499127,,,,,,,7.997600046197373,,True,squared_error,decision_tree_regressor_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,5.545082799445558,3.5268719491590446,auto,7.0,100.0,,,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
22,22,0.5657837967031328,2024-04-22 16:25:44.919249,2024-04-22 16:29:28.656493,0 days 00:03:43.737244,2.7869194738442222,,,,,,,7.187045056961007,,True,squared_error,decision_tree_regressor_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,5.506713743603611,3.4766554175628173,auto,7.0,100.0,,,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
23,23,0.5640561846670986,2024-04-22 16:29:28.674901,2024-04-22 16:33:11.028681,0 days 00:03:42.353780,3.822456768886393,,,,,,,7.2694690682017695,,True,squared_error,decision_tree_regressor_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,6.047018453106741,4.245752931796079,auto,7.0,100.0,,,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
24,24,inf,2024-04-22 16:33:11.049061,2024-04-22 16:33:19.680813,0 days 00:00:08.631752,4.658990940756907,,,,,,,6.497066975549725,,True,squared_error,pls_regression_model,extra_trees_regressor_model,pls_regression_model,ridge_model,bayesian_ridge_model,,6.94215050477608,3.85440940876457,auto,8.0,100.0,,,"(5.0, 95.0)",False,heavy_standardisation,custom_standardizer,False,True,COMPLETE
