,number,value,datetime_start,datetime_complete,duration,params_1D_featurizer,params_1d_model,params_2d_model,params_C_linear_svr,params_C_nu_svr,params_C_passive_aggressive_regressor,params_C_svr,params_activation_mlp_regressor,params_algorithm_kneighbors_regressor,params_algorithm_radius_neighbors_regressor,params_alpha_1,params_alpha_2,params_alpha_bayesian_ridge,params_alpha_elastic_net,params_alpha_gamma_regressor,params_alpha_gaussian_process_regressor,params_alpha_huber_regressor,params_alpha_kernel_ridge,params_alpha_lasso,params_alpha_lasso_cv,params_alpha_mlp_regressor,params_alpha_poisson_regressor,params_alpha_quantile_regressor,params_alpha_ridge_cv,params_alpha_ridge_model,params_alpha_sgd_regressor,params_alpha_tweedie_regressor,params_attention_dropout_0,params_attention_dropout_1,params_attention_dropout_2,params_attention_dropout_3,params_attention_key_dim_0,params_attention_key_dim_1,params_attention_key_dim_2,params_attention_key_dim_3,params_base_estimator_bagging_regressor,params_base_estimator_ransac_regressor,params_base_filters,params_batch_normalization_0,params_batch_normalization_1,params_batch_normalization_2,params_batch_normalization_3,params_batch_normalization_4,params_batch_size_deepchem,params_bootstrap_bagging_regressor,params_bootstrap_extra_trees_regressor,params_bootstrap_features,params_bootstrap_random_forest_regressor,params_conv_activation_0,params_conv_activation_1,params_conv_activation_2,params_conv_batch_norm_0,params_conv_batch_norm_1,params_conv_batch_norm_2,params_conv_dropout_0,params_conv_dropout_1,params_conv_dropout_2,params_criterion_extra_trees_regressor,params_criterion_gradient_boosting_regressor,params_criterion_lasso_lars,params_criterion_random_forest_regressor,params_degree_nu_svr,params_degree_svr,params_dense_activation,params_dense_dropout,params_dense_units,params_depth_dmpnn,params_dropout,params_dropout_attentive_fp,params_dropout_dag,params_dropout_pagtn,params_dropout_text_cnn,params_dropouts_dtnn,params_dropouts_weave,params_embedding_dim,params_embedding_output_dim,params_epochs_deepchem,params_epsilon_huber_regressor,params_epsilon_linear_svr,params_epsilon_sgd_regressor,params_f1,params_f2,params_feature_selector,params_featurizer_type,params_filter_0,params_filter_1,params_filter_2,params_filters,params_fnn_dropout_p,params_fnn_layers,params_fpSize,params_g_noise,params_gamma_kernel_ridge,params_gamma_nu_svr,params_gamma_svr,params_graph_feat_size_attentive_fp,params_gru_dropout_0,params_gru_dropout_1,params_gru_dropout_2,params_gru_units_0,params_gru_units_1,params_gru_units_2,params_hidden_activation_0,params_hidden_activation_1,params_hidden_activation_2,params_hidden_activation_3,params_hidden_activation_4,params_hidden_dropout_0,params_hidden_dropout_1,params_hidden_dropout_2,params_hidden_dropout_3,params_hidden_dropout_4,params_hidden_layer_sizes_mlp_regressor,params_hidden_layer_units_0,params_hidden_layer_units_1,params_hidden_layer_units_2,params_hidden_layer_units_3,params_hidden_layer_units_4,params_k,params_kernel_nu_svr,params_kernel_ridge,params_kernel_size_0,params_kernel_size_1,params_kernel_size_2,params_kernel_size_smiles_to_vec,params_kernel_svr,params_l1_0,params_l1_1,params_l1_2,params_l1_3,params_l1_4,params_l1_ratio_elastic_net,params_l1_ratio_sgd_regressor,params_l2_0,params_l2_1,params_l2_2,params_l2_3,params_l2_4,params_lambda_1_ard_regression,params_lambda_1_bayesian_ridge,params_lambda_2_ard_regression,params_lambda_2_bayesian_ridge,params_layer_sizes_dag,params_layer_sizes_gather,params_leaf_size_kneighbors_regressor,params_leaf_size_radius_neighbors_regressor,params_learning_rate_ada_boost_regressor,params_learning_rate_gradient_boosting_regressor,params_learning_rate_hist_gradient_boosting_regressor,params_loss_ada_boost_regressor,params_loss_gradient_boosting_regressor,params_loss_hist_gradient_boosting_regressor,params_lstm_dropout_0,params_lstm_dropout_1,params_lstm_dropout_2,params_lstm_units_0,params_lstm_units_1,params_lstm_units_2,params_maxLength,params_maxPath,params_max_features_extra_trees_regressor,params_max_features_gradient_boosting_regressor,params_max_features_random_forest_regressor,params_max_length_pagtn,params_max_path,params_minLength,params_minPath,params_min_path,params_min_samples,params_model_steps,params_model_type,params_nBits,params_n_attention_heads,params_n_attention_layers,params_n_bits,params_n_components,params_n_conv_layers,params_n_embedding_dtnn,params_n_embedding_text_cnn,params_n_estimators,params_n_estimators_ada_boost_regressor,params_n_estimators_bagging_regressor,params_n_estimators_extra_trees_regressor,params_n_estimators_gradient_boosting_regressor,params_n_estimators_random_forest_regressor,params_n_graph_feat_dag,params_n_graph_feat_weave,params_n_gru_layers,params_n_hidden_dtnn,params_n_hidden_layers,params_n_hidden_weave,params_n_lstm_layers,params_n_neighbors_kneighbors_regressor,params_n_quantiles,params_n_rnn_layers,params_nu_nu_svr,params_num_heads,params_num_layers_attentive_fp,params_num_layers_pagtn,params_output_distribution,params_p,params_penalty,params_percentile,params_power_tweedie_regressor,params_quantile,params_radius,params_radius_n_radius_neighbors_regressor,params_regression_model,params_rnn_dropouts_0,params_rnn_dropouts_1,params_rnn_dropouts_2,params_rnn_units_0,params_rnn_units_1,params_rnn_units_2,params_scale,params_scaler,params_standardization_type,params_standardizer,params_stride_0,params_stride_1,params_stride_2,params_strides,params_support_weak,params_threshold,params_threshold_lambda,params_use_chirality_attentive_fp,params_use_chirality_gat,params_use_chirality_weave,params_use_edges_gat,params_use_partial_charge_attentive_fp,params_use_partial_charge_gat,params_weight_gbr,params_weight_lr,params_weight_mlp,params_weight_rfr,params_weight_svr,params_weights_kneighbors_regressor,params_weights_radius_neighbors_regressor,params_with_mean,params_with_std,state
0,0,0.9617770053227742,2024-01-18 13:56:22.958256,2024-01-18 13:57:44.341459,0 days 00:01:21.383203,maccs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bic,,,,,,,,,,,,,,,,,,,,,,,percentil_fs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,lasso_lars_ic_model,,,,,,,,,,basic_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
1,1,inf,2024-01-18 13:57:44.369975,2024-01-18 13:57:48.236516,0 days 00:00:03.866541,,,keras_simple_rnn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tanh,0.003104258293564699,160.0,,,,,,,,,,,,,,,,,,2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keras,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,0.11460928273030896,0.4499825974183377,0.2083767689013466,164.0,138.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
2,2,0.7678589146646541,2024-01-18 13:57:48.273024,2024-01-18 14:10:42.056080,0 days 00:12:53.783056,layered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,percentil_fs,,,,,,,,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,3.0,,,,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,voting_regressor_model,,,,,,,,,heavy_standardisation,custom_standardizer,,,,,,,,,,,,,,0.5568946791368349,0.00934857450024451,0.08477384339419014,0.9772414309225871,0.9006486211550919,,,,,COMPLETE
3,3,inf,2024-01-18 14:10:42.101916,2024-01-18 14:10:46.612153,0 days 00:00:04.510237,,,keras_rnn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relu,0.16154734648312474,96.0,,,,,,,,,,,,,,,,,,2D,,,,,,,,,,,,,0.44527859396442865,0.48663239555933446,0.29670566478448485,213.0,147.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4760977049077387,0.44498164357100256,,64.0,184.0,,,,,,,,,,,,,,keras,,,,,,,,,,,,,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
4,4,inf,2024-01-18 14:10:46.650210,2024-01-18 17:10:46.741032,0 days 03:00:00.090822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,410.0,,,,,,,,,,,,0.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dmpnn_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basic_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
5,5,0.8638298938325473,2024-01-18 17:10:46.760335,2024-01-18 17:12:46.752797,0 days 00:01:59.992462,atom_pair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aic,,,,,,,,,,,,,,,,,,,,,,,percentil_fs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,2.0,,,,,sklearn,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,lasso_lars_ic_model,,,,,,,,,simple_standardisation,custom_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
6,6,inf,2024-01-18 17:12:46.773383,2024-01-18 20:12:50.839166,0 days 03:00:04.065783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[50],[500],,,,,,,,,,,,,,,,,,,,,,,,,,dag_model,deepchem,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basic_standardizer,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
7,7,inf,2024-01-18 20:12:50.857361,2024-01-18 23:12:51.055221,0 days 03:00:00.197860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,146.0,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attentive_fp_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,heavy_standardisation,custom_standardizer,,,,,,,,True,,,,False,,,,,,,,,,,COMPLETE
8,8,inf,2024-01-18 23:12:51.082377,2024-01-18 23:13:18.789704,0 days 00:00:27.707327,,,keras_rnn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tanh,0.39123227538269834,240.0,,,,,,,,,,,,,,,,,,2D,,,,,,,,,,,,,0.3364141063140746,0.04373580703086183,,24.0,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20648133488156606,,,166.0,,,,,,,,,,,,,,,keras,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
9,9,inf,2024-01-18 23:13:18.811275,2024-01-18 23:13:19.120789,0 days 00:00:00.309514,2d_descriptors,keras_1d_cnn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tanh,relu,tanh,False,False,False,0.7509139644106774,0.5960356376863021,0.7285880342778484,,,,,,,tanh,,192.0,,0.295958812781099,,,,,,,,,,,,,,,,1D,24.0,4.0,12.0,,,,,0.03737383647909277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,61.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keras,,,,,,3.0,,,,,,,,,,,,,,,,,462.0,,,,,,uniform,,,,,,,,,,,,,,,,quantile_transformer,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,COMPLETE
